Team 1,Team 2,Date,Site,Outcome,in_tournament,1-ORtg,1-DRtg,1-3PAr,1-TS%,1-TRB%,1-AST%,1-STL%,1-BLK%,1-eFG%,1-TOV%,1-ORB%,1-FTr,1-oeFG%,1-oTOV%,1-oDRB%,1-oFTr,1-Pace,1-o3PAr,2-ORtg,2-DRtg,2-3PAr,2-TS%,2-TRB%,2-AST%,2-STL%,2-BLK%,2-eFG%,2-TOV%,2-ORB%,2-FTr,2-oeFG%,2-oTOV%,2-oDRB%,2-oFTr,2-Pace,2-o3PAr
Providence,Sacred Heart,2021-11-11,away,1,False,105.12483574244416,95.89490968801314,0.3529411764705882,0.5873715124816447,0.4776119402985074,0.6153846153846154,0.0919540229885057,0.1891891891891892,0.5490196078431373,0.1839684625492773,0.2,0.7058823529411765,0.5,0.1839080459770115,0.8,0.238095238095238,152.225,0.4126984126984127,102.8708133971292,98.00362976406532,0.4428571428571428,0.5541237113402062,0.5494505494505495,0.5625,0.0362976406533575,0.0256410256410256,0.5357142857142857,0.2033492822966507,0.275,0.2285714285714285,0.4746835443037974,0.2056866303690259,0.725,0.1772151898734177,166.25,0.5063291139240507
George Washington,Maryland,2021-11-11,home,0,False,98.23182711198427,93.90283664819042,0.3870967741935484,0.504371217215871,0.4823529411764706,0.5833333333333334,0.104336485164656,0.173076923076923,0.4596774193548387,0.1964636542239685,0.3095238095238095,0.4193548387096774,0.3852459016393442,0.19563090968373,0.6904761904761905,0.5409836065573771,153.02499999999998,0.1475409836065573,112.27595536016231,93.3378424078458,0.2698412698412698,0.5613797768008116,0.6081081081081081,0.5483870967741935,0.0811633412242137,0.1923076923076923,0.5396825396825397,0.1758539059857964,0.3513513513513513,0.365079365079365,0.5089285714285714,0.1758539059857964,0.6486486486486487,0.4107142857142857,147.85,0.5357142857142857
Prairie View,San Francisco,2021-11-12,home,0,False,96.96969696969695,125.26997840172788,0.3529411764705882,0.5849462365591398,0.3571428571428571,0.24,0.1583873290136789,0.125,0.5686274509803921,0.213903743315508,0.1153846153846153,0.2941176470588235,0.6454545454545455,0.2159827213822894,0.8846153846153846,0.4,139.575,0.5636363636363636,138.2716049382716,88.55067450709096,0.4838709677419355,0.6632825719120136,0.6349206349206349,0.4242424242424242,0.1937046004842615,0.1142857142857142,0.6290322580645161,0.1693121693121693,0.4838709677419355,0.4032258064516129,0.4912280701754385,0.1660325147007955,0.5161290322580645,0.1578947368421052,143.15,0.3859649122807017
Arizona State,UC Riverside,2021-11-12,away,0,False,99.63946247132088,78.7143325680551,0.3939393939393939,0.5407328352899323,0.6086956521739131,0.4838709677419355,0.1311905542800918,0.1,0.5227272727272727,0.2490986561783021,0.3611111111111111,0.1363636363636363,0.4629629629629629,0.2492620531321745,0.6388888888888888,0.2037037037037037,152.5,0.4444444444444444,78.78112225938312,97.38104020656584,0.4313725490196078,0.4794210764360018,0.4333333333333333,0.6,0.0885282183696053,0.0,0.4509803921568627,0.2229654403567446,0.1,0.1764705882352941,0.4897959183673469,0.2213205459240132,0.9,0.5918367346938775,135.05,0.2244897959183673
Richmond,Utah State,2021-11-12,away,0,False,100.03572704537336,86.48648648648648,0.4655172413793103,0.5148951820522252,0.4492753623188406,0.5833333333333334,0.1873873873873874,0.125,0.4655172413793103,0.1571989996427295,0.2571428571428571,0.3620689655172414,0.4741379310344827,0.1585585585585585,0.7428571428571429,0.0862068965517241,139.35,0.4482758620689655,91.63346613545818,92.51525859299711,0.4918032786885246,0.4643337819650067,0.5,0.7727272727272727,0.1156440732412463,0.081081081081081,0.4262295081967213,0.2124833997343957,0.3409090909090909,0.4590163934426229,0.4482758620689655,0.2055894635399935,0.6590909090909091,0.4655172413793103,153.125,0.3620689655172414
Minnesota,Western Kentucky,2021-11-12,away,1,False,108.3969465648855,87.84313725490196,0.4230769230769231,0.5772357723577236,0.5238095238095238,0.7083333333333334,0.1254901960784313,0.1818181818181818,0.5384615384615384,0.1374045801526717,0.1612903225806451,0.3846153846153846,0.4803921568627451,0.1411764705882353,0.8387096774193549,0.196078431372549,129.25,0.3529411764705882,97.23076923076924,94.5989133908597,0.296875,0.5047923322683706,0.5,0.4642857142857143,0.1150527325023969,0.1111111111111111,0.484375,0.2092307692307692,0.3255813953488372,0.46875,0.5603448275862069,0.2173218280600831,0.6744186046511628,0.1896551724137931,159.475,0.3793103448275862
Creighton,Kennesaw State,2021-11-12,away,1,False,115.83011583011582,101.14942528735634,0.3846153846153846,0.6364922206506365,0.5822784810126582,0.5789473684210527,0.1050903119868637,0.1891891891891892,0.6384615384615384,0.2445302445302445,0.375,0.1846153846153846,0.4444444444444444,0.2495894909688013,0.625,0.2083333333333333,153.825,0.4861111111111111,91.13607990012486,101.6026610220744,0.4347826086956521,0.578446909667195,0.5166666666666667,0.3,0.1330511037193831,0.0384615384615384,0.5108695652173914,0.299625468164794,0.2333333333333333,0.782608695652174,0.6078431372549019,0.2902933172059268,0.7666666666666667,0.6470588235294118,162.77499999999998,0.4901960784313725
Eastern Washington,UC Davis,2021-11-12,home,0,False,97.6897689768977,116.48,0.3939393939393939,0.5229681978798587,0.4683544303797468,0.7241379310344828,0.0256,0.0192307692307692,0.5075757575757576,0.1848184818481848,0.225,0.1515151515151515,0.5547945205479452,0.1792,0.775,0.2054794520547945,153.875,0.2876712328767123,92.51525859299711,91.63346613545818,0.3620689655172414,0.5082950935404165,0.5,0.6086956521739131,0.1195219123505976,0.0,0.4482758620689655,0.2441374879537423,0.3157894736842105,0.4655172413793103,0.4262295081967213,0.2523240371845949,0.6842105263157895,0.4590163934426229,153.125,0.4918032786885246
Northern Arizona,Washington,2021-11-12,home,0,False,74.20620763467713,115.05681818181816,0.3018867924528302,0.4257060990585345,0.4883720930232558,0.5789473684210527,0.0426136363636363,0.0227272727272727,0.4056603773584906,0.2996789154477345,0.3,0.320754716981132,0.463768115942029,0.2982954545454545,0.7,0.3478260869565217,140.47500000000002,0.3623188405797101,83.00907911802854,93.57495881383856,0.24,0.3474484256243214,0.5795454545454546,0.25,0.158154859967051,0.24,0.2866666666666667,0.1556420233463035,0.45,0.48,0.5625,0.158154859967051,0.55,0.5208333333333334,152.975,0.4791666666666667
Eastern Michigan,Illinois State,2021-11-12,away,1,False,79.89690721649485,91.2751677852349,0.359375,0.4329608938547486,0.4941176470588235,0.4,0.0805369127516778,0.0789473684210526,0.3828125,0.1675257731958763,0.1555555555555555,0.25,0.4516129032258064,0.174496644295302,0.8444444444444444,0.3225806451612903,152.1,0.3870967741935484,96.86609686609688,92.61300992282249,0.4464285714285714,0.4775280898876404,0.5056179775280899,0.4736842105263157,0.0294009555310547,0.217391304347826,0.4107142857142857,0.1566951566951566,0.2857142857142857,0.5714285714285714,0.3846153846153846,0.1617052554208011,0.7142857142857143,0.2923076923076923,138.22500000000002,0.2923076923076923
Jackson State,Louisiana Tech,2021-11-13,home,0,False,69.75881261595546,106.00970511384848,0.3137254901960784,0.4402810304449648,0.3571428571428571,0.3684210526315789,0.1642403882045539,0.1176470588235294,0.4411764705882353,0.2968460111317254,0.1764705882352941,0.0980392156862745,0.5181818181818182,0.2986188876446435,0.8235294117647058,0.3818181818181818,134.35,0.3818181818181818,90.10911650827173,127.52828248200206,0.3880597014925373,0.4209141729694179,0.4204545454545454,0.4230769230769231,0.0411381556393555,0.032258064516129,0.4328358208955223,0.154875043998592,0.3137254901960784,0.2835820895522388,0.6015625,0.1508399040109702,0.6862745098039216,0.359375,143.95,0.515625
Iowa State,Oregon State,2021-11-13,away,1,False,101.6026610220744,91.13607990012486,0.4901960784313725,0.6299212598425197,0.4833333333333333,0.5925925925925926,0.1747815230961298,0.0384615384615384,0.6078431372549019,0.2661022074387663,0.2,0.6470588235294118,0.5108695652173914,0.2746566791510612,0.8,0.782608695652174,162.77499999999998,0.4347826086956521,98.18426361802288,85.84842387659289,0.2258064516129032,0.4909213180901143,0.5421686746987951,0.5384615384615384,0.147551978537894,0.1842105263157894,0.4677419354838709,0.1882985877605918,0.3414634146341463,0.4193548387096774,0.4416666666666666,0.1877934272300469,0.6585365853658537,0.3,148.89999999999998,0.3666666666666666
American,William & Mary,2021-11-13,home,1,False,98.27696234843653,92.75730622617534,0.3220338983050847,0.5395935529081991,0.5,0.6296296296296297,0.0635324015247776,0.0816326530612244,0.5,0.1786853860880664,0.2121212121212121,0.4406779661016949,0.4852941176470588,0.1778907242693773,0.7878787878787878,0.1764705882352941,157.05,0.2794117647058823,81.21128699242945,105.98761183757742,0.3333333333333333,0.4634721131186174,0.4931506849315068,0.7727272727272727,0.1376462491397109,0.054054054054054,0.4385964912280701,0.2890571231933929,0.3157894736842105,0.2456140350877192,0.575,0.2890571231933929,0.6842105263157895,0.2333333333333333,145.3,0.3833333333333333
Charlotte,South Carolina Upstate,2021-11-13,away,1,False,102.40963855421684,96.88073394495412,0.4909090909090909,0.5120481927710843,0.4411764705882353,0.4285714285714285,0.1174311926605504,0.0277777777777777,0.4363636363636363,0.1054216867469879,0.1944444444444444,0.4363636363636363,0.4727272727272727,0.1027522935779816,0.8055555555555556,0.2727272727272727,134.525,0.3454545454545454,75.51919446192574,94.00421813799338,0.3461538461538461,0.4803843074459567,0.3953488372093023,0.5238095238095238,0.0964145827056342,0.087719298245614,0.4711538461538461,0.2517306482064191,0.0789473684210526,0.4230769230769231,0.4210526315789473,0.2410364567640855,0.9210526315789472,0.2763157894736842,162.425,0.25
Central Michigan,DePaul,2021-11-13,home,0,False,97.63101220387652,115.64121571534469,0.4918032786885246,0.5025868440502587,0.4133333333333333,0.44,0.0889547813194959,0.0588235294117647,0.4836065573770491,0.1722900215362526,0.2631578947368421,0.2295081967213114,0.5163934426229508,0.1779095626389918,0.7368421052631579,0.360655737704918,137.10000000000002,0.4426229508196721,117.57575757575758,94.58128078817734,0.3947368421052631,0.5672514619883041,0.7142857142857143,0.4722222222222222,0.1182266009852216,0.1388888888888889,0.5328947368421053,0.206060606060606,0.5714285714285714,0.2631578947368421,0.5086206896551724,0.2233169129720854,0.4285714285714285,0.2586206896551724,158.625,0.3793103448275862
Iowa,Kansas City,2021-11-13,away,1,False,144.3158611300204,95.30026109660577,0.5076923076923077,0.7024519549370444,0.5308641975308642,0.6666666666666666,0.0783289817232376,0.1904761904761904,0.6692307692307692,0.1089176310415248,0.3225806451612903,0.3384615384615385,0.4121621621621621,0.1044386422976501,0.6774193548387096,0.2162162162162162,150.05,0.4324324324324324,87.84313725490196,108.3969465648855,0.3529411764705882,0.5022421524663677,0.4761904761904761,0.5909090909090909,0.0305343511450381,0.1666666666666666,0.4803921568627451,0.188235294117647,0.125,0.196078431372549,0.5384615384615384,0.183206106870229,0.875,0.3846153846153846,129.25,0.4230769230769231
Indiana State,Purdue,2021-11-13,home,0,False,110.27910142954391,106.53753026634382,0.2678571428571428,0.6094808126410834,0.5692307692307692,0.3448275862068966,0.0968523002421307,0.0769230769230769,0.5625,0.2178352620830496,0.3,0.3928571428571428,0.5227272727272727,0.2213766862677274,0.7,0.1363636363636363,145.72500000000002,0.4090909090909091,141.6451493913685,101.82370820668692,0.6428571428571429,0.6879254747402365,0.65625,0.75,0.1063829787234042,0.125,0.6428571428571429,0.1918111398008115,0.5,0.5178571428571429,0.5084745762711864,0.1975683890577507,0.5,0.135593220338983,133.575,0.5932203389830508
Seattle,Washington State,2021-11-13,home,0,False,95.73361082206036,92.9250263991552,0.4655172413793103,0.5221339387060159,0.4848484848484848,0.7391304347826086,0.0703977472720873,0.0256410256410256,0.4741379310344827,0.1942421089143253,0.2352941176470588,0.293103448275862,0.4811320754716981,0.1971136923618444,0.7647058823529411,0.3584905660377358,143.10000000000002,0.2641509433962264,126.39405204460968,94.39943642127513,0.6206896551724138,0.5882352941176471,0.6301369863013698,0.64,0.0704473406128918,0.0930232558139534,0.5258620689655172,0.20817843866171,0.5428571428571428,0.5172413793103449,0.4166666666666667,0.1972525537160972,0.4571428571428571,0.35,138.225,0.2833333333333333
Abilene Christian,Texas A&M,2021-11-13,home,0,False,81.07129931234165,98.6958054282693,0.3684210526315789,0.4302727621974644,0.3411764705882353,0.5,0.1268946069792033,0.1538461538461538,0.4210526315789473,0.1737242128121607,0.1904761904761904,0.2982456140350877,0.4435483870967742,0.1691928093056045,0.8095238095238095,0.3709677419354839,140.0,0.3709677419354839,89.44793850454228,66.40202093107182,0.2153846153846154,0.4350781781101291,0.5142857142857142,0.5833333333333334,0.1443522194153735,0.2,0.3846153846153846,0.1816911250873515,0.3658536585365853,0.2769230769230769,0.4204545454545454,0.1876578852399855,0.6341463414634146,0.2045454545454545,140.825,0.5454545454545454
Southeast Missouri State,Youngstown State,2021-11-13,away,0,False,126.67946257197696,122.67536704730831,0.3392857142857143,0.686070686070686,0.5238095238095238,0.3125,0.0783034257748776,0.0588235294117647,0.6428571428571429,0.1407549584133077,0.1785714285714285,0.6071428571428571,0.575,0.1435562805872756,0.8214285714285714,0.5833333333333334,154.775,0.4333333333333333,94.02390438247012,118.62396204033216,0.4285714285714285,0.48559670781893,0.3676470588235294,0.3636363636363636,0.0790826413602214,0.025,0.4821428571428571,0.1274900398406374,0.1621621621621621,0.1785714285714285,0.5666666666666667,0.1265322261763543,0.8378378378378378,0.1833333333333333,125.975,0.3333333333333333
Houston,Rice,2021-11-13,away,1,False,117.10758377425044,105.07880910683012,0.3692307692307692,0.5398373983739837,0.5227272727272727,0.5172413793103449,0.0560420315236427,0.0967741935483871,0.5230769230769231,0.1552028218694885,0.3953488372093023,0.3846153846153846,0.4729729729729729,0.1541155866900175,0.6046511627906976,0.0675675675675675,142.25,0.581081081081081,111.41304347826087,83.22324966974901,0.5081967213114754,0.5976676384839651,0.5443037974683544,0.7,0.1585204755614266,0.027027027027027,0.5819672131147541,0.1902173913043478,0.2571428571428571,0.2622950819672131,0.4230769230769231,0.1849405548216644,0.7428571428571429,0.1846153846153846,149.3,0.4307692307692308
Colgate,NC State,2021-11-13,home,0,False,96.15384615384616,84.08843783979704,0.4107142857142857,0.511006289308176,0.4507042253521127,0.6363636363636364,0.0869880391446176,0.0555555555555555,0.4642857142857143,0.1183431952662722,0.1111111111111111,0.2857142857142857,0.43,0.1159840521928235,0.8888888888888888,0.42,136.575,0.28,121.3793103448276,94.72259810554804,0.3472222222222222,0.5398773006134969,0.5733333333333334,0.2121212121212121,0.175913396481732,0.0625,0.5069444444444444,0.1103448275862069,0.4146341463414634,0.2777777777777778,0.5317460317460317,0.108254397834912,0.5853658536585366,0.0634920634920634,146.4,0.492063492063492
Colorado,New Mexico,2021-11-13,away,1,False,121.17305833064776,115.90470057952348,0.3333333333333333,0.6302380154207173,0.5671641791044776,0.5172413793103449,0.0901481004507405,0.1025641025641025,0.5877192982456141,0.2062520141798259,0.4333333333333333,0.6491228070175439,0.5652173913043478,0.206052801030264,0.5666666666666667,0.2028985507246377,155.22500000000002,0.4347826086956521,123.866124491711,121.17220941718804,0.3484848484848485,0.6434839129021774,0.373134328358209,0.4285714285714285,0.0921962462956865,0.1282051282051282,0.6212121212121212,0.1251172974663747,0.21875,0.3484848484848485,0.5538461538461539,0.1317089232795522,0.78125,0.3538461538461538,155.85,0.4
Alabama A&M,Jacksonville State,2021-11-13,home,0,False,110.84825954714432,103.73001776198932,0.2361111111111111,0.5001524855138763,0.4772727272727273,0.5161290322580645,0.0852575488454707,0.0227272727272727,0.4791666666666667,0.1081446434606286,0.3555555555555555,0.2916666666666667,0.5,0.1136767317939609,0.6444444444444445,0.0704225352112676,144.35,0.380281690140845,88.75048657065007,98.9282769991756,0.3846153846153846,0.4980340760157273,0.4558823529411764,0.5454545454545454,0.0989282769991756,0.1714285714285714,0.5,0.2646944336317633,0.303030303030303,0.2115384615384615,0.4210526315789473,0.2802967848309975,0.696969696969697,0.2456140350877192,124.875,0.3859649122807017
Grand Canyon,North Florida,2021-11-13,away,1,False,110.4065647146587,77.79816513761469,0.4,0.5360376675117711,0.589041095890411,0.5,0.1614678899082569,0.0256410256410256,0.5416666666666666,0.1939574785527787,0.4054054054054054,0.3166666666666666,0.4038461538461538,0.1908256880733945,0.5945945945945946,0.2884615384615384,135.15,0.25,83.7404047452896,107.74647887323944,0.5,0.5390835579514824,0.4160583941605839,0.575,0.0704225352112676,0.0961538461538461,0.5,0.3210048848569434,0.2372881355932203,0.2857142857142857,0.4661654135338345,0.323943661971831,0.7627118644067796,0.3007518796992481,285.3,0.2180451127819548
Grambling,Texas Tech,2021-11-13,home,0,False,77.79816513761469,110.4065647146587,0.25,0.4482029598308668,0.410958904109589,0.3684210526315789,0.0596792241700857,0.1388888888888889,0.4038461538461538,0.2495412844036697,0.2222222222222222,0.2884615384615384,0.5416666666666666,0.2536367027228646,0.7777777777777778,0.3166666666666666,135.15,0.4,126.33073101490416,99.96622762580208,0.2205882352941176,0.567240280433397,0.6567164179104478,0.5714285714285714,0.1485984464707868,0.1034482758620689,0.5441176470588235,0.170333569907736,0.5405405405405406,0.3235294117647059,0.5648148148148148,0.1621073961499493,0.4594594594594595,0.3518518518518518,144.47500000000002,0.4629629629629629
Columbia,Marist,2021-11-13,away,0,False,97.45454545454544,113.1936787945608,0.375,0.551440329218107,0.4857142857142857,0.4814814814814814,0.0294009555310547,0.0357142857142857,0.5535714285714286,0.2327272727272727,0.2424242424242424,0.1785714285714285,0.5333333333333333,0.235207644248438,0.7575757575757576,0.3166666666666666,136.775,0.5333333333333333,92.75730622617534,98.27696234843653,0.2794117647058823,0.4952510176390773,0.5,0.1612903225806451,0.0765794511805998,0.075,0.4852941176470588,0.1905972045743329,0.2564102564102564,0.1764705882352941,0.5,0.1914486279514997,0.7435897435897436,0.4406779661016949,157.05,0.3220338983050847
Georgia Southern,South Florida,2021-11-13,home,1,False,117.26850196639256,98.6453629732546,0.3684210526315789,0.6036069193963931,0.5070422535211268,0.5,0.1667245571378951,0.1851851851851851,0.5877192982456141,0.1716124419020379,0.303030303030303,0.4035087719298245,0.5350877192982456,0.1667245571378951,0.696969696969697,0.3684210526315789,141.89999999999998,0.5263157894736842,112.06574523720585,80.77786088257292,0.2407407407407407,0.5775895263765884,0.5303030303030303,0.5357142857142857,0.0897531787584143,0.0833333333333333,0.5462962962962963,0.1045946955547254,0.1666666666666666,0.4259259259259259,0.4152542372881356,0.1047120418848167,0.8333333333333334,0.1016949152542373,133.77499999999998,0.3898305084745763
Coppin State,Rider,2021-11-13,home,0,False,94.58128078817734,117.57575757575758,0.3793103448275862,0.5527831094049904,0.2857142857142857,0.4583333333333333,0.109090909090909,0.0652173913043478,0.5086206896551724,0.2101806239737274,0.1428571428571428,0.2586206896551724,0.5328947368421053,0.1939393939393939,0.8571428571428571,0.2631578947368421,158.625,0.3947368421052631,93.45078513979318,115.55203798971112,0.2807017543859649,0.4977560179518564,0.5072463768115942,0.3461538461538461,0.0633161851998417,0.0967741935483871,0.4736842105263157,0.1991574109536575,0.28125,0.1578947368421052,0.4918032786885246,0.2057776018994855,0.71875,0.2131147540983606,128.45,0.4918032786885246
Alabama,South Dakota State,2021-11-13,away,1,False,127.52828248200206,90.10911650827173,0.515625,0.6206206206206206,0.5795454545454546,0.59375,0.1267159450897571,0.048780487804878,0.6015625,0.1919780596503257,0.4324324324324324,0.359375,0.4328358208955223,0.1971136923618444,0.5675675675675675,0.2835820895522388,143.95,0.3880597014925373,99.05227759095078,81.1232449297972,0.303030303030303,0.5076778439360702,0.5333333333333333,0.5454545454545454,0.1123244929797191,0.0697674418604651,0.4015151515151515,0.1834301436869458,0.2888888888888888,0.4393939393939394,0.4117647058823529,0.187207488299532,0.7111111111111111,0.2205882352941176,161.9,0.3676470588235294
Cornell,Lafayette,2021-11-13,home,1,False,95.95959595959596,87.20379146919431,0.3508771929824561,0.5263157894736842,0.4705882352941176,0.3703703703703703,0.1516587677725118,0.0277777777777777,0.5087719298245614,0.1893939393939394,0.2222222222222222,0.5614035087719298,0.4366197183098591,0.1895734597156398,0.7777777777777778,0.2112676056338028,158.325,0.4929577464788732,87.68267223382047,134.39556633183236,0.6119402985074627,0.4509663564781675,0.3846153846153846,0.6956521739130435,0.0554208520956009,0.0714285714285714,0.4328358208955223,0.139178844815588,0.1777777777777777,0.0895522388059701,0.6397058823529411,0.1385521302390024,0.8222222222222222,0.1911764705882352,144.02499999999998,0.3823529411764705
Kansas,Tarleton State,2021-11-13,away,1,False,112.4031007751938,96.60574412532638,0.265625,0.5769230769230769,0.4477611940298507,0.4193548387096774,0.1044386422976501,0.0930232558139534,0.53125,0.1162790697674418,0.2058823529411764,0.375,0.5158730158730159,0.1174934725848564,0.7941176470588235,0.2539682539682539,154.0,0.3174603174603174,82.74720728175424,102.56410256410255,0.4807692307692308,0.4679457182966776,0.4098360655737705,0.3809523809523809,0.0992555831265508,0.0384615384615384,0.4711538461538461,0.2316921803889118,0.21875,0.0576923076923076,0.4893617021276595,0.2315963606286186,0.78125,0.4680851063829787,120.875,0.4468085106382978
Indiana,Northern Illinois,2021-11-13,away,1,False,91.2751677852349,79.89690721649485,0.3870967741935484,0.4755244755244755,0.5058823529411764,0.5,0.0386597938144329,0.1463414634146341,0.4516129032258064,0.1073825503355704,0.125,0.3225806451612903,0.3828125,0.1030927835051546,0.875,0.25,152.1,0.359375,93.57495881383856,83.00907911802854,0.4791666666666667,0.592901878914405,0.4204545454545454,0.5714285714285714,0.0518806744487678,0.2456140350877192,0.5625,0.2635914332784184,0.1428571428571428,0.5208333333333334,0.2866666666666667,0.2594033722438392,0.8571428571428571,0.48,152.975,0.24
Santa Clara,Stanford,2021-11-13,away,1,False,128.88377445339472,113.1936787945608,0.25,0.634680770683793,0.4137931034482758,0.5588235294117647,0.117603822124219,0.0,0.6083333333333333,0.1227464518603759,0.3333333333333333,0.2166666666666666,0.5423728813559322,0.117603822124219,0.6666666666666666,0.3220338983050847,133.2,0.2033898305084746,102.56410256410255,82.74720728175424,0.4468085106382978,0.5395996518711923,0.5901639344262295,0.6,0.0496483243690525,0.037037037037037,0.4893617021276595,0.2315963606286186,0.3793103448275862,0.4680851063829787,0.4711538461538461,0.2316921803889118,0.6206896551724138,0.0576923076923076,120.875,0.4807692307692308
Air Force,Tulsa,2021-11-13,home,1,False,79.46026986506747,91.3312693498452,0.5111111111111111,0.5226824457593688,0.4264705882352941,0.4,0.0773993808049535,0.125,0.5222222222222223,0.2548725637181409,0.037037037037037,0.2666666666666666,0.4137931034482758,0.2631578947368421,0.9629629629629628,0.2758620689655172,131.3,0.3103448275862069,113.18150448585232,104.52961672473867,0.396551724137931,0.5989773557341125,0.5217391304347826,0.6296296296296297,0.1114982578397212,0.1081081081081081,0.5517241379310345,0.2208419599723947,0.375,0.3793103448275862,0.546875,0.2229965156794425,0.625,0.15625,144.2,0.421875
Oakland,Oklahoma State,2021-11-13,home,1,False,74.3598737285163,86.2688713156003,0.3709677419354839,0.3998491135420595,0.5925925925925926,0.3181818181818182,0.1294033069734004,0.027027027027027,0.3790322580645161,0.350754121360926,0.4761904761904761,0.1451612903225806,0.4310344827586206,0.3594536304816679,0.5238095238095238,0.3103448275862069,140.825,0.3620689655172414,122.0950398890045,62.7177700348432,0.352112676056338,0.5564337654125829,0.6410256410256411,0.6060606060606061,0.2090592334494773,0.0909090909090909,0.528169014084507,0.1664932362122788,0.4871794871794871,0.2394366197183098,0.3962264150943396,0.1672473867595819,0.5128205128205128,0.1886792452830188,143.825,0.3773584905660377
