<<<<<<< HEAD
Team,made_tournament
Air Force,False
Akron,False
Alabama,True
Alabama A&M,True
Alabama State,False
Albany (NY),False
Alcorn State,False
American,False
Appalachian State,False
Arizona,True
Arizona State,False
Arkansas,False
Arkansas State,False
Arkansas-Pine Bluff,False
Army,False
Auburn,False
Austin Peay,False
Ball State,False
Baylor,False
Belmont,False
Bethune-Cookman,False
Binghamton,False
Birmingham-Southern,False
Boise State,False
Boston College,True
Boston University,False
Bowling Green,False
Bradley,False
Brigham Young,False
Brown,False
Bucknell,True
Buffalo,False
Butler,False
Cal Poly,False
Cal State Fullerton,False
Cal State Northridge,False
California,False
Campbell,False
Canisius,False
Centenary (LA),False
Central Connecticut State,False
Central Michigan,False
Charleston Southern,False
Charlotte,True
Chattanooga,True
Chicago State,False
Cincinnati,True
Clemson,False
Cleveland State,False
Coastal Carolina,False
Colgate,False
College of Charleston,False
Colorado,False
Colorado State,False
Columbia,False
Connecticut,True
Coppin State,False
Cornell,False
Creighton,True
Dartmouth,False
Davidson,False
Dayton,False
Delaware,False
Delaware State,True
Denver,False
DePaul,False
Detroit Mercy,False
Drake,False
Drexel,False
Duke,True
Duquesne,False
East Carolina,False
East Tennessee State,False
Eastern Illinois,False
Eastern Kentucky,True
Eastern Michigan,False
Eastern Washington,False
Elon,False
Evansville,False
Fairfield,False
FDU,True
Florida,True
Florida A&M,False
Florida Atlantic,False
Florida International,False
Florida State,False
Fordham,False
Fresno State,False
Furman,False
Gardner-Webb,False
George Mason,False
George Washington,True
Georgetown,False
Georgia,False
Georgia Southern,False
Georgia State,False
Georgia Tech,True
Gonzaga,True
Grambling,False
Green Bay,False
Hampton,False
Hartford,False
Harvard,False
Hawaii,False
High Point,False
Hofstra,False
Holy Cross,False
Houston,False
Howard,False
Idaho,False
Idaho State,False
Illinois,True
Illinois State,False
Illinois-Chicago,False
Indiana,False
Indiana State,False
Iona,False
Iowa,True
Iowa State,True
IU Indy,False
Jackson State,False
Jacksonville,False
Jacksonville State,False
James Madison,False
Kansas,True
Kansas City,False
Kansas State,False
Kent State,False
Kentucky,True
La Salle,False
Lafayette,False
Lamar,False
Lehigh,False
Liberty,False
Lipscomb,False
Little Rock,False
Long Beach State,False
Long Island University,False
Longwood,False
Louisiana,True
Louisiana State,True
Louisiana Tech,False
Louisiana-Monroe,False
Louisville,True
Loyola (IL),False
Loyola (MD),False
Loyola Marymount,False
Maine,False
Manhattan,False
Marist,False
Marquette,False
Marshall,False
Maryland,False
Maryland-Baltimore County,False
Maryland-Eastern Shore,False
Massachusetts,False
McNeese State,False
Memphis,False
Mercer,False
Miami (FL),False
Miami (OH),False
Michigan,False
Michigan State,True
Middle Tennessee,False
Milwaukee,True
Minnesota,True
Mississippi,False
Mississippi State,True
Mississippi Valley State,False
Missouri,False
Missouri State,False
Monmouth,False
Montana,True
Montana State,False
Morehead State,False
Morgan State,False
Mount St. Mary's,False
Murray State,False
Navy,False
NC State,True
Nebraska,False
Nevada,True
Nevada-Las Vegas,False
New Hampshire,False
New Mexico,True
New Mexico State,False
New Orleans,False
Niagara,True
Nicholls State,False
Norfolk State,False
North Carolina,True
North Carolina A&T,False
North Texas,False
Northeastern,False
Northern Arizona,False
Northern Colorado,False
Northern Illinois,False
Northern Iowa,True
Northwestern,False
Northwestern State,False
Notre Dame,False
Oakland,True
Ohio,True
Ohio State,False
Oklahoma,True
Oklahoma State,True
Old Dominion,True
Oral Roberts,False
Oregon,False
Oregon State,False
Pacific,True
Penn State,False
Pennsylvania,True
Pepperdine,False
Pittsburgh,True
Portland,False
Portland State,False
Prairie View,False
Princeton,False
Providence,False
Purdue,False
Purdue Fort Wayne,False
Quinnipiac,False
Radford,False
Rhode Island,False
Rice,False
Richmond,False
Rider,False
Robert Morris,False
Rutgers,False
Sacramento State,False
Sacred Heart,False
Saint Francis (PA),False
Saint Joseph's,False
Saint Louis,False
Saint Mary's (CA),True
Saint Peter's,False
Sam Houston,False
Samford,False
San Diego,False
San Diego State,False
San Francisco,False
San Jose State,False
Santa Clara,False
Savannah State,False
Seton Hall,False
Siena,False
