Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
0,Air Force,1,2012-11-10,N,Army,REG (Non-Conf),W,76,65,,25,50,.500,6,16,.375,19,34,.559,.560,20,26,.769,4,20,31,12,1,3,13,21,23,63,.365,10,34,.294,13,29,.448,.444,9,10,.900,11,20,31,12,1,3,13,21
1,Air Force,2,2012-11-11,N,The Citadel,REG (Non-Conf),W,77,70,,24,49,.490,15,34,.441,9,15,.600,.643,14,17,.824,4,19,27,14,4,1,16,17,25,44,.568,8,20,.400,17,24,.708,.659,12,16,.750,8,19,27,14,4,1,16,17
2,Air Force,3,2012-11-15,,Western Co.,REG (Non-Conf),W,102,68,,34,65,.523,11,26,.423,23,39,.590,.608,23,37,.622,13,25,34,16,3,1,19,23,23,53,.434,10,32,.313,13,21,.619,.528,12,26,.462,9,25,34,16,3,1,19,23
3,Air Force,4,2012-11-18,,Regis (CO),REG (Non-Conf),W,83,43,,33,65,.508,9,25,.360,24,40,.600,.577,8,14,.571,13,20,24,11,5,2,22,16,15,49,.306,5,25,.200,10,24,.417,.357,8,10,.800,4,20,24,11,5,2,22,16
4,Air Force,5,2012-11-21,,Montana State,REG (Non-Conf),W,86,72,,35,59,.593,10,22,.455,25,37,.676,.678,6,11,.545,9,15,25,11,7,5,9,14,27,62,.435,8,23,.348,19,39,.487,.500,10,17,.588,10,15,25,11,7,5,9,14
5,Air Force,6,2012-11-25,@,Colorado,REG (Non-Conf),L,74,89,,27,60,.450,12,30,.400,15,30,.500,.550,8,14,.571,4,31,45,11,4,3,15,14,30,53,.566,7,13,.538,23,40,.575,.632,22,28,.786,14,31,45,11,4,3,15,14
6,Air Force,7,2012-11-28,,Jackson State,REG (Non-Conf),W,76,47,,29,53,.547,11,23,.478,18,30,.600,.651,7,16,.438,7,18,22,8,9,1,13,18,14,46,.304,4,23,.174,10,23,.435,.348,15,27,.556,4,18,22,8,9,1,13,18
7,Air Force,8,2012-12-02,,Wichita State,REG (Non-Conf),L,69,72,,25,55,.455,5,16,.313,20,39,.513,.500,14,25,.560,6,27,32,21,5,1,19,23,28,48,.583,6,19,.316,22,29,.759,.646,10,14,.714,5,27,32,21,5,1,19,23
8,Air Force,9,2012-12-08,,Arkansas–Pine Bluff,REG (Non-Conf),W,65,49,,22,54,.407,5,23,.217,17,31,.548,.454,16,21,.762,11,19,24,8,7,4,21,19,19,45,.422,2,13,.154,17,32,.531,.444,9,10,.900,5,19,24,8,7,4,21,19
9,Air Force,10,2012-12-22,@,UC Riverside,REG (Non-Conf),W,61,53,,23,53,.434,7,18,.389,16,35,.457,.500,8,11,.727,6,23,33,11,3,4,19,11,18,50,.360,6,15,.400,12,35,.343,.420,11,15,.733,10,23,33,11,3,4,19,11
10,Air Force,11,2012-12-29,N,Florida,REG (Non-Conf),L,61,78,,19,47,.404,9,20,.450,10,27,.370,.500,14,22,.636,5,23,32,12,6,6,10,19,28,52,.538,7,19,.368,21,33,.636,.606,15,23,.652,9,23,32,12,6,6,10,19
11,Air Force,12,2013-01-02,@,Richmond,REG (Non-Conf),L,68,91,,22,51,.431,4,14,.286,18,37,.486,.471,20,26,.769,11,20,25,20,10,1,12,25,29,53,.547,16,26,.615,13,27,.481,.698,17,25,.680,5,20,25,20,10,1,12,25
12,Air Force,13,2013-01-09,,Nevada,REG (Conf),W,78,65,,24,46,.522,10,17,.588,14,29,.483,.630,20,23,.870,2,18,25,12,6,6,15,20,22,51,.431,6,19,.316,16,32,.500,.490,15,19,.789,7,18,25,12,6,6,15,20
13,Air Force,14,2013-01-12,@,UNLV,REG (Conf),L,71,76,OT,23,60,.383,9,22,.409,14,38,.368,.458,16,19,.842,4,29,44,23,4,7,13,15,26,60,.433,6,25,.240,20,35,.571,.483,18,31,.581,15,29,44,23,4,7,13,15
14,Air Force,15,2013-01-16,@,Colorado State,REG (Conf),L,40,79,,17,46,.370,3,19,.158,14,27,.519,.402,3,4,.750,3,26,38,20,5,1,14,14,28,55,.509,6,18,.333,22,37,.595,.564,17,23,.739,12,26,38,20,5,1,14,14
15,Air Force,16,2013-01-19,,Boise State,REG (Conf),W,91,80,,31,57,.544,8,16,.500,23,41,.561,.614,21,23,.913,8,16,30,13,6,4,16,21,27,57,.474,8,20,.400,19,37,.514,.544,18,28,.643,14,16,30,13,6,4,16,21
16,Air Force,17,2013-01-23,,New Orleans,REG (Non-Conf),W,90,48,,36,56,.643,10,18,.556,26,38,.684,.732,8,12,.667,11,11,20,10,7,2,15,13,17,47,.362,5,20,.250,12,27,.444,.415,9,15,.600,9,11,20,10,7,2,15,13
17,Air Force,18,2013-01-26,@,Wyoming,REG (Conf),W,57,48,,18,41,.439,5,15,.333,13,26,.500,.500,16,22,.727,5,17,23,11,5,4,8,18,17,51,.333,5,28,.179,12,23,.522,.382,9,12,.750,6,17,23,11,5,4,8,18
18,Air Force,19,2013-01-30,,Fresno State,REG (Conf),W,62,50,,21,42,.500,5,17,.294,16,25,.640,.560,15,19,.789,4,19,24,9,10,2,9,19,18,48,.375,8,20,.400,10,28,.357,.458,6,15,.400,5,19,24,9,10,2,9,19
19,Air Force,20,2013-02-02,,San Diego State,REG (Conf),W,70,67,,25,51,.490,12,30,.400,13,21,.619,.608,8,9,.889,3,21,34,19,4,1,13,14,25,57,.439,2,19,.105,23,38,.605,.456,15,18,.833,13,21,34,19,4,1,13,14
20,Air Force,23,2013-02-13,,UNLV,REG (Conf),W,71,56,,29,56,.518,8,23,.348,21,33,.636,.589,5,6,.833,10,16,23,11,6,6,14,15,22,52,.423,5,19,.263,17,33,.515,.471,7,12,.583,7,16,23,11,6,6,14,15
21,Air Force,24,2013-02-16,,Colorado State,REG (Conf),L,86,89,,33,62,.532,13,31,.419,20,31,.645,.637,7,12,.583,5,28,39,13,4,1,11,17,28,52,.538,7,20,.350,21,32,.656,.606,26,34,.765,11,28,39,13,4,1,11,17
22,Air Force,25,2013-02-20,@,Boise State,REG (Conf),L,65,77,,23,51,.451,9,25,.360,14,26,.538,.539,10,11,.909,7,21,27,22,7,2,6,11,29,54,.537,10,26,.385,19,28,.679,.630,9,12,.750,6,21,27,22,7,2,6,11
23,Air Force,26,2013-02-26,,Wyoming,REG (Conf),W,72,66,,26,51,.510,3,18,.167,23,33,.697,.539,17,23,.739,6,20,27,17,2,1,4,18,22,55,.400,10,30,.333,12,25,.480,.491,12,15,.800,7,20,27,17,2,1,4,18
24,Air Force,27,2013-03-02,@,Fresno State,REG (Conf),L,41,56,,12,43,.279,4,20,.200,8,23,.348,.326,13,19,.684,7,25,43,5,6,3,8,19,21,56,.375,2,14,.143,19,42,.452,.393,12,18,.667,18,25,43,5,6,3,8,19
