Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Purdue Fort Wayne,2870,28.8,20.0,69.6,38,10,10,10,2,17,0,17,0,0,0,18,323140002,2013,2,2012-11-10,,50.0,False,15.0,52.0,16.0,23.0,4.0,20.0,Auburn,61.0,9.0,home,2.0,0,1,0,15.0,52.0,4.0,20.0,16.0,23.0,22.0,54.0,40.7,3.0,11.0,27.3,14.0,21.0,66.7,12,45,10,10,3,16,17
Auburn,2,40.7,27.3,66.7,45,12,10,10,3,16,0,16,0,0,0,17,323140002,2013,2,2012-11-10,,61.0,True,22.0,54.0,14.0,21.0,3.0,11.0,Purdue Fort Wayne,50.0,11.0,away,2870.0,0,0,1,22.0,54.0,3.0,11.0,14.0,21.0,15.0,52.0,28.8,4.0,20.0,20.0,16.0,23.0,69.6,10,38,10,10,2,17,18
Sam Houston State,2534,46.7,34.8,66.7,41,13,13,3,4,19,0,19,0,0,0,25,323140008,2013,2,2012-11-10,,68.0,False,28.0,60.0,4.0,6.0,8.0,23.0,Arkansas,73.0,4.0,home,8.0,0,1,0,28.0,60.0,8.0,23.0,4.0,6.0,22.0,51.0,43.1,3.0,13.0,23.1,26.0,32.0,81.3,7,25,16,9,8,9,14
Arkansas,8,43.1,23.1,81.3,25,7,16,9,8,9,0,9,0,0,0,14,323140008,2013,2,2012-11-10,,73.0,True,22.0,51.0,26.0,32.0,3.0,13.0,Sam Houston State,68.0,13.0,away,2534.0,0,0,1,22.0,51.0,3.0,13.0,26.0,32.0,28.0,60.0,46.7,8.0,23.0,34.8,4.0,6.0,66.7,13,41,13,3,4,19,25
California Merced,3185,33.8,26.3,40.6,46,23,13,3,2,15,0,15,0,0,0,29,323140016,2013,2,2012-11-10,,62.0,False,22.0,65.0,13.0,32.0,5.0,19.0,Sacramento State,96.0,3.0,home,16.0,0,1,0,22.0,65.0,5.0,19.0,13.0,32.0,31.0,57.0,54.4,7.0,15.0,46.7,27.0,44.0,61.4,16,51,17,8,4,12,27
Sacramento State,16,54.4,46.7,61.4,51,16,17,8,4,12,0,12,0,0,0,27,323140016,2013,2,2012-11-10,,96.0,True,31.0,57.0,27.0,44.0,7.0,15.0,California Merced,62.0,34.0,away,3185.0,0,0,1,31.0,57.0,7.0,15.0,27.0,44.0,22.0,65.0,33.8,5.0,19.0,26.3,13.0,32.0,40.6,23,46,13,3,2,15,29
San Francisco,2539,39.0,35.0,60.0,49,13,6,3,1,15,0,15,0,0,0,22,323140024,2013,2,2012-11-10,,62.0,False,23.0,59.0,9.0,15.0,7.0,20.0,Stanford,74.0,2.0,home,24.0,0,1,0,23.0,59.0,7.0,20.0,9.0,15.0,26.0,55.0,47.3,7.0,15.0,46.7,15.0,23.0,65.2,3,33,15,6,2,6,18
Stanford,24,47.3,46.7,65.2,33,3,15,6,2,6,0,6,0,0,0,18,323140024,2013,2,2012-11-10,,74.0,True,26.0,55.0,15.0,23.0,7.0,15.0,San Francisco,62.0,15.0,away,2539.0,0,0,1,26.0,55.0,7.0,15.0,15.0,23.0,23.0,59.0,39.0,7.0,20.0,35.0,9.0,15.0,60.0,13,49,6,3,1,15,22
Indiana State,282,31.7,19.2,61.5,38,17,10,10,2,15,1,15,0,0,0,27,323140026,2013,2,2012-11-10,,59.0,False,19.0,60.0,16.0,26.0,5.0,26.0,UCLA,86.0,4.0,home,26.0,0,1,0,19.0,60.0,5.0,26.0,16.0,26.0,27.0,56.0,48.2,4.0,16.0,25.0,28.0,41.0,68.3,21,55,17,5,5,16,19
UCLA,26,48.2,25.0,68.3,55,21,17,5,5,16,0,16,0,0,0,19,323140026,2013,2,2012-11-10,,86.0,True,27.0,56.0,28.0,41.0,4.0,16.0,Indiana State,59.0,30.0,away,282.0,0,0,1,27.0,56.0,4.0,16.0,28.0,41.0,19.0,60.0,31.7,5.0,26.0,19.2,16.0,26.0,61.5,17,38,10,10,2,15,27
